JoinForm.txtPassword2	apply.iPassword2
JoinForm.ddlFindUs	apply.iReferrer
JoinForm.txtUsername	apply.iUsername
JoinForm.txtCity	apply.iCity
sportsbook.PASSWORD	apply.iPassword1
JoinForm.txtHomePhone	apply.iPhoneNumber
JoinForm.ddlState	apply.iState
JoinForm.txtEmail	apply.iEmail
JoinForm.txtFirstName	apply.iFirstName
JoinForm.txtLastName	apply.iLastName
JoinForm.txtCountry	apply.iCountryID
JoinForm.txtAddress1	apply.iAddress
JoinForm.txtWorkPhone	apply.iPhoneNumber
JoinForm.txtZip	apply.iPostalCode
