registerfrm.confirmpassword	Details.txtPasswordConfirm
registerfrm.dob_Y	Details.cboYear
registerfrm.state	Details.txtStateRegion
registerfrm.country	Details.cboCountryAlt
registerfrm.username	Details.txtUsername
registerfrm.firstname	Details.txtFirstName
registerfrm.email	Details.txtEmail
registerfrm.password	Details.txtPassword
registerfrm.Gender	Details.cboTitle
registerfrm.city	Details.txtCityTown
registerfrm.lastname	Details.txtSurname
registerfrm.zip	Details.txtPostcode
registerfrm.zip	Details.txtQASPostcode
registerfrm.address2	Details.txtAddress2
registerfrm.dob_D	Details.cboDay
registerfrm.Newsletter	Details.chkMail
registerfrm.address1	Details.txtAddress1
registerfrm.dob_M	Details.cboMonth
