Details.txtPassword	registerfrm.password
Details.txtFirstName	registerfrm.firstname
Details.txtCityTown	registerfrm.city
Details.cboYear	registerfrm.dob_Y
Details.txtSurname	registerfrm.lastname
Details.txtPostcode	registerfrm.zip
Details.chkMail	registerfrm.Newsletter
Details.cboDay	registerfrm.dob_D
Details.cboTitle	registerfrm.Gender
Details.cboCountryAlt	registerfrm.country
Details.txtStateRegion	registerfrm.state
Details.txtUsername	registerfrm.username
Details.txtQASPostcode	registerfrm.zip
Details.cboMonth	registerfrm.dob_M
Details.txtEmail	registerfrm.email
Details.txtPasswordConfirm	registerfrm.confirmpassword
Details.txtAddress1	registerfrm.address1
Details.txtAddress2	registerfrm.address2
