newsubs.Submit	Preview.QuickOrder1btnSubmit
newsubs.City	Preview.QuickOrder1addresstxtCity
newsubs.StOrProv	Preview.QuickOrder1addresscboState
newsubs.PostalCode	Preview.QuickOrder1addresstxtPostalCode
newsubs.Country	Preview.QuickOrder1addresscboCountry
newsubs.Email	Preview.QuickOrder1addresstxtEmail
newsubs.FirstName	Preview.QuickOrder1addresstxtFirstName
newsubs.LastName	Preview.QuickOrder1addresstxtLastName
newsubs.Address1	Preview.QuickOrder1addresstxtAddress1
newsubs.Address2	Preview.QuickOrder1addresstxtAddress2
newsubs.CCNum	Preview.QuickOrder1creditCardtxtCardNumber
newsubs.CCType	Preview.QuickOrder1creditCarddrpCardType
newsubs.CCExpMonth	Preview.QuickOrder1creditCarddrpExpireMonth
newsubs.CCExpYear	Preview.QuickOrder1creditCarddrpExpireYear
newsubs.SubTerm	Preview.QuickOrder1promotionXmlcirOffers_ctl2listSubscriptionTerms
