Reference.Part.InProceedings.proceedings <-> Entry.Section.Communication.inMinutes
Reference.Book.volume <-> Entry.Book.volume
Reference.Part.Article.volume <-> Entry.Section.JournalPaper.volume
Reference.Informal.Unpublished <-> Entry.NonFormal.Manuscript
Reference.Part.Chapter.chapter <-> Entry.Section.Chapter.section
Reference.Part.Chapter <-> Entry.Section.Chapter
Reference.Book.Proceedings.editor <-> Entry.Book.CongressMinutes.coordinatedBy
Reference.Part.InBook <-> Entry.Section.Extract
Reference.Book.series <-> Entry.Book.inSeries
Reference.date <-> Entry.publishingDate
Reference.date <-> Entry.Book.publishingDate
Reference.date <-> Entry.StudentReport.publishingDate
Reference.date <-> Entry.Report.publishingDate
Reference.date <-> Entry.Section.JournalPaper.publishingDate
Reference.Book.date <-> Entry.publishingDate
Reference.Book.date <-> Entry.Book.publishingDate
Reference.Book.date <-> Entry.StudentReport.publishingDate
Reference.Book.date <-> Entry.Report.publishingDate
Reference.Book.date <-> Entry.Section.JournalPaper.publishingDate
Reference.Academic.date <-> Entry.publishingDate
Reference.Academic.date <-> Entry.Book.publishingDate
Reference.Academic.date <-> Entry.StudentReport.publishingDate
Reference.Academic.date <-> Entry.Report.publishingDate
Reference.Academic.date <-> Entry.Section.JournalPaper.publishingDate
Reference.Report.date <-> Entry.publishingDate
Reference.Report.date <-> Entry.Book.publishingDate
Reference.Report.date <-> Entry.StudentReport.publishingDate
Reference.Report.date <-> Entry.Report.publishingDate
Reference.Report.date <-> Entry.Section.JournalPaper.publishingDate
Reference.Part.Article.date <-> Entry.publishingDate
Reference.Part.Article.date <-> Entry.Book.publishingDate
Reference.Part.Article.date <-> Entry.StudentReport.publishingDate
Reference.Part.Article.date <-> Entry.Report.publishingDate
Reference.Part.Article.date <-> Entry.Section.JournalPaper.publishingDate
Reference.title <-> Entry.heading
Reference.title <-> Entry.Book.heading
Reference.title <-> Entry.NonFormal.heading
Reference.title <-> Entry.Section.heading
Reference.title <-> Entry.StudentReport.heading
Reference.title <-> Entry.Report.heading
Reference.title <-> Entry.NonFormal.ReferenceGuide.heading
Reference.title <-> Entry.NonFormal.Manuscript.heading
Reference.Book.title <-> Entry.heading
Reference.Book.title <-> Entry.Book.heading
Reference.Book.title <-> Entry.Section.heading
Reference.Book.title <-> Entry.StudentReport.heading
Reference.Book.title <-> Entry.Report.heading
Reference.Informal.title <-> Entry.heading
Reference.Informal.title <-> Entry.NonFormal.heading
Reference.Informal.title <-> Entry.NonFormal.ReferenceGuide.heading
Reference.Informal.title <-> Entry.NonFormal.Manuscript.heading
Reference.Part.title <-> Entry.heading
Reference.Part.title <-> Entry.Book.heading
Reference.Part.title <-> Entry.Section.heading
Reference.Part.title <-> Entry.StudentReport.heading
Reference.Part.title <-> Entry.Report.heading
Reference.Academic.title <-> Entry.heading
Reference.Academic.title <-> Entry.Book.heading
Reference.Academic.title <-> Entry.Section.heading
Reference.Academic.title <-> Entry.StudentReport.heading
Reference.Academic.title <-> Entry.Report.heading
Reference.Report.title <-> Entry.heading
Reference.Report.title <-> Entry.Book.heading
Reference.Report.title <-> Entry.Section.heading
Reference.Report.title <-> Entry.StudentReport.heading
