Reference.Part.InProceedings.proceedings <-> Reference.Partie.ExtraitActes.actes
Reference.Book.volume <-> Reference.Livre.volume
Reference.Part.Article.volume <-> Reference.Partie.Article.volume
Reference.Part.Chapter.chapter <-> Reference.Partie.Chapitre.chapitre
Reference.Part.Chapter <-> Reference.Partie.Chapitre
Reference.Part.InBook <-> Reference.Partie.ExtraitLivre
Reference.date <-> Reference.date
Reference.date <-> Reference.Livre.date
Reference.date <-> Reference.Memoire.date
Reference.date <-> Reference.Rapport.date
Reference.date <-> Reference.Partie.Article.date
Reference.Book.date <-> Reference.date
Reference.Book.date <-> Reference.Livre.date
Reference.Academic.date <-> Reference.date
Reference.Academic.date <-> Reference.Memoire.date
Reference.Report.date <-> Reference.date
Reference.Report.date <-> Reference.Rapport.date
Reference.Part.Article.date <-> Reference.date
Reference.Part.Article.date <-> Reference.Partie.Article.date
Reference.title <-> Reference.titre
Reference.title <-> Reference.Livre.titre
Reference.title <-> Reference.Informel.titre
Reference.title <-> Reference.Partie.titre
Reference.title <-> Reference.Memoire.titre
Reference.title <-> Reference.Rapport.titre
Reference.title <-> Reference.Informel.Manuel.titre
Reference.title <-> Reference.Informel.NonPublie.titre
Reference.Book.title <-> Reference.titre
Reference.Book.title <-> Reference.Livre.titre
Reference.Informal.title <-> Reference.titre
Reference.Informal.title <-> Reference.Informel.titre
Reference.Informal.title <-> Reference.Informel.Manuel.titre
Reference.Informal.title <-> Reference.Informel.NonPublie.titre
Reference.Part.title <-> Reference.titre
Reference.Part.title <-> Reference.Partie.titre
Reference.Academic.title <-> Reference.titre
Reference.Academic.title <-> Reference.Memoire.titre
Reference.Report.title <-> Reference.titre
Reference.Report.title <-> Reference.Rapport.titre
Reference.Informal.Manual.title <-> Reference.titre
Reference.Informal.Manual.title <-> Reference.Informel.titre
Reference.Informal.Manual.title <-> Reference.Informel.Manuel.titre
Reference.Informal.Manual.title <-> Reference.Informel.NonPublie.titre
Reference.Informal.Unpublished.title <-> Reference.titre
Reference.Informal.Unpublished.title <-> Reference.Informel.titre
Reference.Informal.Unpublished.title <-> Reference.Informel.Manuel.titre
Reference.Informal.Unpublished.title <-> Reference.Informel.NonPublie.titre
Reference.Informal.Booklet <-> Reference.Informel.Livret
Reference.Part.pages <-> Reference.Partie.pages
Reference.Part.pages <-> Reference.Partie.Article.pages
Reference.Part.pages <-> Reference.Partie.ExtraitLivre.pages
Reference.Part.Article.pages <-> Reference.Partie.pages
Reference.Part.Article.pages <-> Reference.Partie.Article.pages
Reference.Part.InBook.pages <-> Reference.Partie.pages
Reference.Part.InBook.pages <-> Reference.Partie.ExtraitLivre.pages
Reference.Report.institution <-> Reference.Memoire.institution
Reference.Report.institution <-> Reference.Rapport.institution
Reference.Part.isPartOf <-> Reference.Partie.partieDe
Reference.Book.Proceedings.organization <-> Reference.Livre.Actes.organisation
Reference.Book.Proceedings.organization <-> Reference.Informel.Manuel.organisation
Reference.Informal.Manual.organization <-> Reference.Livre.Actes.organisation
Reference.Informal.Manual.organization <-> Reference.Informel.Manuel.organisation
Reference.Academic.school <-> Reference.Memoire.institution
Reference.Academic.school <-> Reference.Rapport.institution
Reference.Misc <-> Reference.Divers
Reference.Part.InCollection.collection <-> Reference.Partie.ExtraitCompilation.collection
Reference.Book.Collection <-> Reference.Livre.Compilation
Reference.MotionPicture <-> Reference.Film
Reference.Part.Article <-> Reference.Partie.Article
Reference.Informal <-> Reference.Informel
Reference.Book <-> Reference.Livre
Reference.Part.InBook.book <-> Reference.Partie.ExtraitLivre.livre
Reference.Book.Proceedings <-> Reference.Livre.Actes
Reference.Part.InCollection <-> Reference.Partie.ExtraitCompilation
Reference.author <-> Reference.auteurs
Reference.author <-> Reference.Memoire.auteurs
Reference.author <-> Reference.Rapport.auteurs
Reference.author <-> Reference.Informel.NonPublie.auteurs
Reference.author <-> Reference.Partie.Article.auteurs
Reference.author <-> Reference.Partie.ExtraitLivre.auteurs
Reference.author <-> Reference.Partie.ExtraitCompilation.auteurs
Reference.author <-> Reference.Partie.ExtraitActes.auteurs
Reference.Academic.author <-> Reference.auteurs
Reference.Academic.author <-> Reference.Memoire.auteurs
Reference.Report.author <-> Reference.auteurs
Reference.Report.author <-> Reference.Rapport.auteurs
Reference.Informal.Unpublished.author <-> Reference.auteurs
Reference.Informal.Unpublished.author <-> Reference.Informel.NonPublie.auteurs
Reference.Part.Article.author <-> Reference.auteurs
Reference.Part.Article.author <-> Reference.Partie.Article.auteurs
Reference.Part.InBook.author <-> Reference.auteurs
Reference.Part.InBook.author <-> Reference.Partie.ExtraitLivre.auteurs
Reference.Part.InBook.author <-> Reference.Partie.ExtraitCompilation.auteurs
Reference.Part.InBook.author <-> Reference.Partie.ExtraitActes.auteurs
Reference.Part.InCollection.author <-> Reference.auteurs
Reference.Part.InCollection.author <-> Reference.Partie.ExtraitLivre.auteurs
Reference.Part.InCollection.author <-> Reference.Partie.ExtraitCompilation.auteurs
Reference.Part.InCollection.author <-> Reference.Partie.ExtraitActes.auteurs
Reference.Part.InProceedings.author <-> Reference.auteurs
Reference.Part.InProceedings.author <-> Reference.Partie.ExtraitLivre.auteurs
Reference.Part.InProceedings.author <-> Reference.Partie.ExtraitCompilation.auteurs
Reference.Part.InProceedings.author <-> Reference.Partie.ExtraitActes.auteurs
Reference.Report <-> Reference.Rapport
Reference.Informal.Unpublished.note <-> Reference.Informel.NonPublie.note
Reference.Part <-> Reference.Partie
Reference.Report.Deliverable.contract <-> Reference.Rapport.Livrable.contrat
Reference.Informal.Manual <-> Reference.Informel.Manuel
Reference.Part.InProceedings <-> Reference.Partie.ExtraitActes
Reference.Part.Article.journal <-> Reference.Partie.Article.journal
Reference.Book.Monograph <-> Reference.Livre.Monographie
Reference.Report.Deliverable <-> Reference.Rapport.Livrable
