Reference.Part.InProceedings.proceedings <-> REFERENCE.Part.In_proceedings.proceedings
Reference.Book.volume <-> REFERENCE.Book.volume
Reference.Part.Article.volume <-> REFERENCE.Part.Article.volume
Reference.Informal.Unpublished <-> REFERENCE.Informal.Un_published
Reference.Part.Chapter.chapter <-> REFERENCE.Part.Chapter.chapter
Reference.Part.Chapter <-> REFERENCE.Part.Chapter
Reference.Book.Proceedings.editor <-> REFERENCE.Book.Proc_.editor
Reference.Part.InBook <-> REFERENCE.Part.In_book
Reference.Book.series <-> REFERENCE.Book.series
Reference.date <-> REFERENCE.date
Reference.date <-> REFERENCE.Book.date
Reference.date <-> REFERENCE.Academic.date
Reference.date <-> REFERENCE.Report.date
Reference.date <-> REFERENCE.Part.Article.date
Reference.Book.date <-> REFERENCE.date
Reference.Book.date <-> REFERENCE.Book.date
Reference.Book.date <-> REFERENCE.Academic.date
Reference.Book.date <-> REFERENCE.Report.date
Reference.Academic.date <-> REFERENCE.date
Reference.Academic.date <-> REFERENCE.Book.date
Reference.Academic.date <-> REFERENCE.Academic.date
Reference.Academic.date <-> REFERENCE.Report.date
Reference.Report.date <-> REFERENCE.date
Reference.Report.date <-> REFERENCE.Book.date
Reference.Report.date <-> REFERENCE.Academic.date
Reference.Report.date <-> REFERENCE.Report.date
Reference.Part.Article.date <-> REFERENCE.date
Reference.Part.Article.date <-> REFERENCE.Part.Article.date
Reference.title <-> REFERENCE.title
Reference.title <-> REFERENCE.Book.title
Reference.title <-> REFERENCE.Informal.title
Reference.title <-> REFERENCE.Part.title
Reference.title <-> REFERENCE.Academic.title
Reference.title <-> REFERENCE.Report.title
Reference.title <-> REFERENCE.Informal.Manual.title
Reference.title <-> REFERENCE.Informal.Un_published.title
Reference.Book.title <-> REFERENCE.title
Reference.Book.title <-> REFERENCE.Book.title
Reference.Book.title <-> REFERENCE.Part.title
Reference.Book.title <-> REFERENCE.Academic.title
Reference.Book.title <-> REFERENCE.Report.title
Reference.Informal.title <-> REFERENCE.title
Reference.Informal.title <-> REFERENCE.Informal.title
Reference.Informal.title <-> REFERENCE.Informal.Manual.title
Reference.Informal.title <-> REFERENCE.Informal.Un_published.title
Reference.Part.title <-> REFERENCE.title
Reference.Part.title <-> REFERENCE.Part.title
Reference.Academic.title <-> REFERENCE.title
Reference.Academic.title <-> REFERENCE.Book.title
Reference.Academic.title <-> REFERENCE.Part.title
Reference.Academic.title <-> REFERENCE.Academic.title
Reference.Academic.title <-> REFERENCE.Report.title
Reference.Report.title <-> REFERENCE.title
Reference.Report.title <-> REFERENCE.Book.title
Reference.Report.title <-> REFERENCE.Part.title
Reference.Report.title <-> REFERENCE.Academic.title
Reference.Report.title <-> REFERENCE.Report.title
Reference.Informal.Manual.title <-> REFERENCE.title
Reference.Informal.Manual.title <-> REFERENCE.Informal.title
Reference.Informal.Manual.title <-> REFERENCE.Part.title
Reference.Informal.Manual.title <-> REFERENCE.Informal.Manual.title
Reference.Informal.Manual.title <-> REFERENCE.Informal.Un_published.title
Reference.Informal.Unpublished.title <-> REFERENCE.title
Reference.Informal.Unpublished.title <-> REFERENCE.Informal.title
Reference.Informal.Unpublished.title <-> REFERENCE.Informal.Manual.title
Reference.Informal.Unpublished.title <-> REFERENCE.Informal.Un_published.title
Reference.Informal.Booklet <-> REFERENCE.Informal.Booklet
Reference.Informal.LectureNotes <-> REFERENCE.Informal.Lecture_notes
Reference.Academic.MastersThesis <-> REFERENCE.Academic.MSc_thesis
Reference.Part.pages <-> REFERENCE.Part.pages
Reference.Part.pages <-> REFERENCE.Part.Article.pages
Reference.Part.pages <-> REFERENCE.Part.In_book.pages
Reference.Part.Article.pages <-> REFERENCE.Part.pages
Reference.Part.Article.pages <-> REFERENCE.Part.Article.pages
Reference.Part.Article.pages <-> REFERENCE.Part.In_book.pages
Reference.Part.InBook.pages <-> REFERENCE.Part.pages
Reference.Part.InBook.pages <-> REFERENCE.Part.Article.pages
Reference.Part.InBook.pages <-> REFERENCE.Part.In_book.pages
Reference.Report.TechReport <-> REFERENCE.Report.Technical_report
Reference.Book.edition <-> REFERENCE.Book.edition
Reference.Book.edition <-> REFERENCE.Informal.Manual.edition
Reference.Informal.Manual.edition <-> REFERENCE.Book.edition
Reference.Informal.Manual.edition <-> REFERENCE.Informal.Manual.edition
Reference.Report.institution <-> REFERENCE.Report.institution
Reference.Book.Proceedings.organization <-> REFERENCE.Book.Proc_.organisation
Reference.Book.Proceedings.organization <-> REFERENCE.Informal.Manual.organisation
Reference.Informal.Manual.organization <-> REFERENCE.Book.Proc_.organisation
Reference.Informal.Manual.organization <-> REFERENCE.Informal.Manual.organisation
Reference.Book.publisher <-> REFERENCE.Book.publisher
Reference.Academic.school <-> REFERENCE.Academic.school
Reference.Misc <-> REFERENCE.Misc_
Reference.Part.InCollection.collection <-> REFERENCE.Part.In_collection.collection
Reference.Book.Collection <-> REFERENCE.Book.Collection
Reference.Academic <-> REFERENCE.Academic
Reference.MotionPicture <-> REFERENCE.Motion_picture
Reference.Part.Article <-> REFERENCE.Part.Article
