Reference.Part.InProceedings.proceedings <-> Root.InProceedings.proceedings
Reference.Book.volume <-> Root.Article.volume
Reference.Book.volume <-> Root.Book.volume
Reference.Part.Article.volume <-> Root.Article.volume
Reference.Part.Article.volume <-> Root.Book.volume
Reference.Informal.Unpublished <-> Root.Unpublished
Reference.Part.Chapter.chapter <-> Root.Chapter.chapter
Reference.Part.Chapter <-> Root.Chapter
Reference.Book.Proceedings.editor <-> Root.Proceedings.editor
Reference.Part.InBook <-> Root.InBook
Reference.Book.series <-> Root.Book.series
Reference.Book.series <-> Root.Journal.series
Reference.date <-> Root.Reference.date
Reference.date <-> Root.Article.date
Reference.date <-> Root.Book.date
Reference.date <-> Root.Academic.date
Reference.date <-> Root.Report.date
Reference.Book.date <-> Root.Reference.date
Reference.Book.date <-> Root.Article.date
Reference.Book.date <-> Root.Book.date
Reference.Book.date <-> Root.Academic.date
Reference.Book.date <-> Root.Report.date
Reference.Academic.date <-> Root.Reference.date
Reference.Academic.date <-> Root.Article.date
Reference.Academic.date <-> Root.Book.date
Reference.Academic.date <-> Root.Academic.date
Reference.Academic.date <-> Root.Report.date
Reference.Report.date <-> Root.Reference.date
Reference.Report.date <-> Root.Article.date
Reference.Report.date <-> Root.Book.date
Reference.Report.date <-> Root.Academic.date
Reference.Report.date <-> Root.Report.date
Reference.Part.Article.date <-> Root.Reference.date
Reference.Part.Article.date <-> Root.Article.date
Reference.Part.Article.date <-> Root.Book.date
Reference.Part.Article.date <-> Root.Academic.date
Reference.Part.Article.date <-> Root.Report.date
Reference.title <-> Root.Reference.title
Reference.title <-> Root.Book.title
Reference.title <-> Root.Informal.title
Reference.title <-> Root.Part.title
Reference.title <-> Root.Manual.title
Reference.title <-> Root.Academic.title
Reference.title <-> Root.Report.title
Reference.title <-> Root.Unpublished.title
Reference.Book.title <-> Root.Reference.title
Reference.Book.title <-> Root.Book.title
Reference.Book.title <-> Root.Part.title
Reference.Book.title <-> Root.Manual.title
Reference.Book.title <-> Root.Academic.title
Reference.Book.title <-> Root.Report.title
Reference.Informal.title <-> Root.Reference.title
Reference.Informal.title <-> Root.Informal.title
Reference.Informal.title <-> Root.Unpublished.title
Reference.Part.title <-> Root.Reference.title
Reference.Part.title <-> Root.Book.title
Reference.Part.title <-> Root.Part.title
Reference.Part.title <-> Root.Manual.title
Reference.Part.title <-> Root.Academic.title
Reference.Part.title <-> Root.Report.title
Reference.Academic.title <-> Root.Reference.title
Reference.Academic.title <-> Root.Book.title
Reference.Academic.title <-> Root.Part.title
Reference.Academic.title <-> Root.Manual.title
Reference.Academic.title <-> Root.Academic.title
Reference.Academic.title <-> Root.Report.title
Reference.Report.title <-> Root.Reference.title
Reference.Report.title <-> Root.Book.title
Reference.Report.title <-> Root.Part.title
Reference.Report.title <-> Root.Manual.title
Reference.Report.title <-> Root.Academic.title
Reference.Report.title <-> Root.Report.title
Reference.Informal.Manual.title <-> Root.Reference.title
Reference.Informal.Manual.title <-> Root.Informal.title
Reference.Informal.Manual.title <-> Root.Unpublished.title
Reference.Informal.Unpublished.title <-> Root.Reference.title
Reference.Informal.Unpublished.title <-> Root.Informal.title
Reference.Informal.Unpublished.title <-> Root.Manual.title
Reference.Informal.Unpublished.title <-> Root.Unpublished.title
Reference.Informal.Booklet <-> Root.Booklet
Reference.Informal.LectureNotes <-> Root.LectureNotes
Reference.Academic.MastersThesis <-> Root.MastersThesis
Reference.Part.pages <-> Root.Article.pages
Reference.Part.pages <-> Root.Part.pages
Reference.Part.pages <-> Root.InBook.pages
Reference.Part.Article.pages <-> Root.Article.pages
Reference.Part.Article.pages <-> Root.Part.pages
Reference.Part.Article.pages <-> Root.InBook.pages
Reference.Part.InBook.pages <-> Root.Article.pages
Reference.Part.InBook.pages <-> Root.Part.pages
Reference.Part.InBook.pages <-> Root.InBook.pages
Reference.Report.TechReport <-> Root.TechReport
Reference.Book.edition <-> Root.Book.edition
Reference.Book.edition <-> Root.Manual.edition
Reference.Informal.Manual.edition <-> Root.Book.edition
Reference.Informal.Manual.edition <-> Root.Manual.edition
Reference.Report.institution <-> Root.Report.institution
Reference.Part.isPartOf <-> Root.Part.isPartOf
Reference.Book.Proceedings.organization <-> Root.Manual.organization
Reference.Book.Proceedings.organization <-> Root.Proceedings.organization
Reference.Informal.Manual.organization <-> Root.Manual.organization
Reference.Informal.Manual.organization <-> Root.Proceedings.organization
Reference.Book.publisher <-> Root.Book.publisher
Reference.Book.publisher <-> Root.Journal.publisher
Reference.Academic.school <-> Root.Academic.school
Reference.Misc <-> Root.Misc
Reference.Part.InCollection.collection <-> Root.InCollection.collection
Reference.Book.Collection <-> Root.Collection
Reference.Academic <-> Root.Academic
Reference.MotionPicture <-> Root.MotionPicture
Reference.Part.Article <-> Root.Article
Reference.Informal <-> Root.Informal
Reference.Book.Proceedings.event <-> Root.Proceedings.event
Reference.Book <-> Root.Book
Reference.Part.InBook.book <-> Root.InBook.book
Reference.Academic.PhdThesis <-> Root.PhdThesis
Reference.Book.Proceedings <-> Root.Proceedings
Reference.Report.number <-> Root.Article.number
Reference.Report.number <-> Root.Report.number
Reference.Part.Article.number <-> Root.Article.number
Reference.Part.Article.number <-> Root.Report.number
Reference <-> Root.Reference
Reference.Part.InCollection <-> Root.InCollection
Reference.author <-> Root.Reference.author
Reference.author <-> Root.Article.author
Reference.author <-> Root.InCollection.author
Reference.author <-> Root.InBook.author
Reference.author <-> Root.InProceedings.author
Reference.author <-> Root.Academic.author
Reference.author <-> Root.Report.author
Reference.author <-> Root.Unpublished.author
Reference.Academic.author <-> Root.Reference.author
Reference.Academic.author <-> Root.Article.author
Reference.Academic.author <-> Root.InCollection.author
Reference.Academic.author <-> Root.InBook.author
Reference.Academic.author <-> Root.InProceedings.author
Reference.Academic.author <-> Root.Academic.author
Reference.Academic.author <-> Root.Report.author
Reference.Report.author <-> Root.Reference.author
Reference.Report.author <-> Root.Article.author
Reference.Report.author <-> Root.InCollection.author
Reference.Report.author <-> Root.InBook.author
Reference.Report.author <-> Root.InProceedings.author
Reference.Report.author <-> Root.Academic.author
Reference.Report.author <-> Root.Report.author
Reference.Informal.Unpublished.author <-> Root.Reference.author
Reference.Informal.Unpublished.author <-> Root.InCollection.author
Reference.Informal.Unpublished.author <-> Root.InBook.author
Reference.Informal.Unpublished.author <-> Root.InProceedings.author
Reference.Informal.Unpublished.author <-> Root.Unpublished.author
Reference.Part.Article.author <-> Root.Reference.author
Reference.Part.Article.author <-> Root.Article.author
Reference.Part.Article.author <-> Root.InCollection.author
Reference.Part.Article.author <-> Root.InBook.author
Reference.Part.Article.author <-> Root.InProceedings.author
Reference.Part.Article.author <-> Root.Academic.author
Reference.Part.Article.author <-> Root.Report.author
Reference.Part.InBook.author <-> Root.Reference.author
Reference.Part.InBook.author <-> Root.Article.author
Reference.Part.InBook.author <-> Root.InCollection.author
Reference.Part.InBook.author <-> Root.InBook.author
Reference.Part.InBook.author <-> Root.InProceedings.author
Reference.Part.InBook.author <-> Root.Academic.author
Reference.Part.InBook.author <-> Root.Report.author
Reference.Part.InCollection.author <-> Root.Reference.author
Reference.Part.InCollection.author <-> Root.Article.author
Reference.Part.InCollection.author <-> Root.InCollection.author
Reference.Part.InCollection.author <-> Root.InBook.author
Reference.Part.InCollection.author <-> Root.InProceedings.author
Reference.Part.InCollection.author <-> Root.Academic.author
Reference.Part.InCollection.author <-> Root.Report.author
Reference.Part.InProceedings.author <-> Root.Reference.author
Reference.Part.InProceedings.author <-> Root.Article.author
Reference.Part.InProceedings.author <-> Root.InCollection.author
Reference.Part.InProceedings.author <-> Root.InBook.author
Reference.Part.InProceedings.author <-> Root.InProceedings.author
Reference.Part.InProceedings.author <-> Root.Academic.author
Reference.Part.InProceedings.author <-> Root.Report.author
Reference.Report <-> Root.Report
Reference.Informal.Unpublished.note <-> Root.Unpublished.note
Reference.Book.humanCreator <-> Root.Book.humanCreator
Reference.Part <-> Root.Part
Reference.Report.Deliverable.contract <-> Root.Deliverable.contract
Reference.Informal.Manual <-> Root.Manual
Reference.Part.InProceedings <-> Root.InProceedings
Reference.Part.Article.journal <-> Root.Article.journal
Reference.Book.Monograph <-> Root.Book.Monograph
Reference.Report.Deliverable <-> Root.Deliverable
