Reference.Part.InProceedings.proceedings <-> Reference.Part.InProceedings.proceedings
Reference.Book.volume <-> Reference.Book.volume
Reference.Part.Article.volume <-> Reference.Part.Article.volume
Reference.Informal.Unpublished <-> Reference.Informal.Unpublished
Reference.Part.Chapter.chapter <-> Reference.Part.Chapter.chapter
Reference.Part.Chapter <-> Reference.Part.Chapter
Reference.Book.Proceedings.editor <-> Reference.Book.Proceedings.editor
Reference.Part.InBook <-> Reference.Part.InBook
Reference.Book.series <-> Reference.Book.series
Reference.date <-> Reference.date
Reference.date <-> Reference.Book.date
Reference.date <-> Reference.Academic.date
Reference.date <-> Reference.Report.date
Reference.date <-> Reference.Part.Article.date
Reference.Book.date <-> Reference.date
Reference.Book.date <-> Reference.Book.date
Reference.Book.date <-> Reference.Academic.date
Reference.Book.date <-> Reference.Report.date
Reference.Book.date <-> Reference.Part.Article.date
Reference.Academic.date <-> Reference.date
Reference.Academic.date <-> Reference.Book.date
Reference.Academic.date <-> Reference.Academic.date
Reference.Academic.date <-> Reference.Report.date
Reference.Academic.date <-> Reference.Part.Article.date
Reference.Report.date <-> Reference.date
Reference.Report.date <-> Reference.Book.date
Reference.Report.date <-> Reference.Academic.date
Reference.Report.date <-> Reference.Report.date
Reference.Report.date <-> Reference.Part.Article.date
Reference.Part.Article.date <-> Reference.date
Reference.Part.Article.date <-> Reference.Book.date
Reference.Part.Article.date <-> Reference.Academic.date
Reference.Part.Article.date <-> Reference.Report.date
Reference.Part.Article.date <-> Reference.Part.Article.date
Reference.title <-> Reference.title
Reference.title <-> Reference.Book.title
Reference.title <-> Reference.Informal.title
Reference.title <-> Reference.Part.title
Reference.title <-> Reference.Academic.title
Reference.title <-> Reference.Report.title
Reference.title <-> Reference.Informal.Manual.title
Reference.title <-> Reference.Informal.Unpublished.title
Reference.Book.title <-> Reference.title
Reference.Book.title <-> Reference.Book.title
Reference.Book.title <-> Reference.Part.title
Reference.Book.title <-> Reference.Academic.title
Reference.Book.title <-> Reference.Report.title
Reference.Informal.title <-> Reference.title
Reference.Informal.title <-> Reference.Informal.title
Reference.Informal.title <-> Reference.Informal.Manual.title
Reference.Informal.title <-> Reference.Informal.Unpublished.title
Reference.Part.title <-> Reference.title
Reference.Part.title <-> Reference.Book.title
Reference.Part.title <-> Reference.Part.title
Reference.Part.title <-> Reference.Academic.title
Reference.Part.title <-> Reference.Report.title
Reference.Academic.title <-> Reference.title
Reference.Academic.title <-> Reference.Book.title
Reference.Academic.title <-> Reference.Part.title
Reference.Academic.title <-> Reference.Academic.title
Reference.Academic.title <-> Reference.Report.title
Reference.Report.title <-> Reference.title
Reference.Report.title <-> Reference.Book.title
Reference.Report.title <-> Reference.Part.title
Reference.Report.title <-> Reference.Academic.title
Reference.Report.title <-> Reference.Report.title
Reference.Informal.Manual.title <-> Reference.title
Reference.Informal.Manual.title <-> Reference.Informal.title
Reference.Informal.Manual.title <-> Reference.Informal.Manual.title
Reference.Informal.Manual.title <-> Reference.Informal.Unpublished.title
Reference.Informal.Unpublished.title <-> Reference.title
Reference.Informal.Unpublished.title <-> Reference.Informal.title
Reference.Informal.Unpublished.title <-> Reference.Informal.Manual.title
Reference.Informal.Unpublished.title <-> Reference.Informal.Unpublished.title
Reference.Informal.Booklet <-> Reference.Informal.Booklet
Reference.Informal.LectureNotes <-> Reference.Informal.LectureNotes
Reference.Academic.MastersThesis <-> Reference.Academic.MastersThesis
Reference.Part.pages <-> Reference.Part.pages
Reference.Part.pages <-> Reference.Part.Article.pages
Reference.Part.pages <-> Reference.Part.InBook.pages
Reference.Part.Article.pages <-> Reference.Part.pages
Reference.Part.Article.pages <-> Reference.Part.Article.pages
Reference.Part.Article.pages <-> Reference.Part.InBook.pages
Reference.Part.InBook.pages <-> Reference.Part.pages
Reference.Part.InBook.pages <-> Reference.Part.Article.pages
Reference.Part.InBook.pages <-> Reference.Part.InBook.pages
Reference.Report.TechReport <-> Reference.Report.TechReport
Reference.Book.edition <-> Reference.Book.edition
Reference.Informal.Manual.edition <-> Reference.Informal.Manual.edition
Reference.Report.institution <-> Reference.Report.institution
Reference.Part.isPartOf <-> Reference.Part.isPartOf
Reference.Book.Proceedings.organization <-> Reference.Book.Proceedings.organization
Reference.Informal.Manual.organization <-> Reference.Informal.Manual.organization
Reference.Book.publisher <-> Reference.Book.publisher
Reference.Academic.school <-> Reference.Academic.school
Reference.Misc <-> Reference.Misc
Reference.Part.InCollection.collection <-> Reference.Part.InCollection.collection
Reference.Book.Collection <-> Reference.Book.Collection
Reference.Academic <-> Reference.Academic
Reference.MotionPicture <-> Reference.MotionPicture
Reference.Part.Article <-> Reference.Part.Article
Reference.Informal <-> Reference.Informal
Reference.Book.Proceedings.event <-> Reference.Book.Proceedings.event
Reference.Book <-> Reference.Book
Reference.Part.InBook.book <-> Reference.Part.InBook.book
Reference.Academic.PhdThesis <-> Reference.Academic.PhdThesis
Reference.Book.Proceedings <-> Reference.Book.Proceedings
Reference.Report.number <-> Reference.Report.number
Reference.Report.number <-> Reference.Part.Article.number
