Reference.Part.InProceedings.proceedings <-> Reference.InProceedings.proceedings
Reference.Book.volume <-> Reference.Article.volume
Reference.Book.volume <-> Reference.Monograph.volume
Reference.Book.volume <-> Reference.Collection.volume
Reference.Book.volume <-> Reference.Proceedings.volume
Reference.Part.Article.volume <-> Reference.Article.volume
Reference.Part.Article.volume <-> Reference.Monograph.volume
Reference.Part.Article.volume <-> Reference.Collection.volume
Reference.Part.Article.volume <-> Reference.Proceedings.volume
Reference.Informal.Unpublished <-> Reference.Unpublished
Reference.Part.Chapter.chapter <-> Reference.Chapter.chapter
Reference.Part.Chapter <-> Reference.Chapter
Reference.Book.Proceedings.editor <-> Reference.Proceedings.editor
Reference.Part.InBook <-> Reference.InBook
Reference.Book.series <-> Reference.Monograph.series
Reference.Book.series <-> Reference.Collection.series
Reference.Book.series <-> Reference.Proceedings.series
Reference.date <-> Reference.date
Reference.date <-> Reference.Article.date
Reference.date <-> Reference.Monograph.date
Reference.date <-> Reference.Collection.date
Reference.date <-> Reference.MastersThesis.date
Reference.date <-> Reference.PhdThesis.date
Reference.date <-> Reference.Proceedings.date
Reference.date <-> Reference.Report.date
Reference.Book.date <-> Reference.date
Reference.Book.date <-> Reference.Article.date
Reference.Book.date <-> Reference.Monograph.date
Reference.Book.date <-> Reference.Collection.date
Reference.Book.date <-> Reference.MastersThesis.date
Reference.Book.date <-> Reference.PhdThesis.date
Reference.Book.date <-> Reference.Proceedings.date
Reference.Book.date <-> Reference.Report.date
Reference.Academic.date <-> Reference.date
Reference.Academic.date <-> Reference.Article.date
Reference.Academic.date <-> Reference.Monograph.date
Reference.Academic.date <-> Reference.Collection.date
Reference.Academic.date <-> Reference.MastersThesis.date
Reference.Academic.date <-> Reference.PhdThesis.date
Reference.Academic.date <-> Reference.Proceedings.date
Reference.Academic.date <-> Reference.Report.date
Reference.Report.date <-> Reference.date
Reference.Report.date <-> Reference.Article.date
Reference.Report.date <-> Reference.Monograph.date
Reference.Report.date <-> Reference.Collection.date
Reference.Report.date <-> Reference.MastersThesis.date
Reference.Report.date <-> Reference.PhdThesis.date
Reference.Report.date <-> Reference.Proceedings.date
Reference.Report.date <-> Reference.Report.date
Reference.Part.Article.date <-> Reference.date
Reference.Part.Article.date <-> Reference.Article.date
Reference.Part.Article.date <-> Reference.Monograph.date
Reference.Part.Article.date <-> Reference.Collection.date
Reference.Part.Article.date <-> Reference.MastersThesis.date
Reference.Part.Article.date <-> Reference.PhdThesis.date
Reference.Part.Article.date <-> Reference.Proceedings.date
Reference.Part.Article.date <-> Reference.Report.date
Reference.title <-> Reference.title
Reference.title <-> Reference.Article.title
Reference.title <-> Reference.Monograph.title
Reference.title <-> Reference.Collection.title
Reference.title <-> Reference.Booklet.title
Reference.title <-> Reference.Chapter.title
Reference.title <-> Reference.InBook.title
Reference.title <-> Reference.InCollection.title
Reference.title <-> Reference.InProceedings.title
Reference.title <-> Reference.LectureNotes.title
Reference.title <-> Reference.Manual.title
Reference.title <-> Reference.MastersThesis.title
Reference.title <-> Reference.PhdThesis.title
Reference.title <-> Reference.Proceedings.title
Reference.title <-> Reference.Report.title
Reference.title <-> Reference.Unpublished.title
Reference.Book.title <-> Reference.title
Reference.Book.title <-> Reference.Article.title
Reference.Book.title <-> Reference.Monograph.title
Reference.Book.title <-> Reference.Collection.title
Reference.Book.title <-> Reference.Booklet.title
Reference.Book.title <-> Reference.Chapter.title
Reference.Book.title <-> Reference.InBook.title
Reference.Book.title <-> Reference.InCollection.title
Reference.Book.title <-> Reference.InProceedings.title
Reference.Book.title <-> Reference.LectureNotes.title
Reference.Book.title <-> Reference.Manual.title
Reference.Book.title <-> Reference.MastersThesis.title
Reference.Book.title <-> Reference.PhdThesis.title
Reference.Book.title <-> Reference.Proceedings.title
Reference.Book.title <-> Reference.Report.title
Reference.Informal.title <-> Reference.title
Reference.Informal.title <-> Reference.Unpublished.title
Reference.Part.title <-> Reference.title
Reference.Part.title <-> Reference.Article.title
Reference.Part.title <-> Reference.Monograph.title
Reference.Part.title <-> Reference.Collection.title
Reference.Part.title <-> Reference.Booklet.title
Reference.Part.title <-> Reference.Chapter.title
Reference.Part.title <-> Reference.InBook.title
Reference.Part.title <-> Reference.InCollection.title
Reference.Part.title <-> Reference.InProceedings.title
Reference.Part.title <-> Reference.LectureNotes.title
Reference.Part.title <-> Reference.Manual.title
Reference.Part.title <-> Reference.MastersThesis.title
Reference.Part.title <-> Reference.PhdThesis.title
Reference.Part.title <-> Reference.Proceedings.title
Reference.Part.title <-> Reference.Report.title
Reference.Academic.title <-> Reference.title
Reference.Academic.title <-> Reference.Article.title
Reference.Academic.title <-> Reference.Monograph.title
Reference.Academic.title <-> Reference.Collection.title
Reference.Academic.title <-> Reference.Booklet.title
Reference.Academic.title <-> Reference.Chapter.title
Reference.Academic.title <-> Reference.InBook.title
Reference.Academic.title <-> Reference.InCollection.title
Reference.Academic.title <-> Reference.InProceedings.title
Reference.Academic.title <-> Reference.LectureNotes.title
Reference.Academic.title <-> Reference.Manual.title
Reference.Academic.title <-> Reference.MastersThesis.title
Reference.Academic.title <-> Reference.PhdThesis.title
Reference.Academic.title <-> Reference.Proceedings.title
Reference.Academic.title <-> Reference.Report.title
Reference.Report.title <-> Reference.title
Reference.Report.title <-> Reference.Article.title
Reference.Report.title <-> Reference.Monograph.title
Reference.Report.title <-> Reference.Collection.title
Reference.Report.title <-> Reference.Booklet.title
Reference.Report.title <-> Reference.Chapter.title
Reference.Report.title <-> Reference.InBook.title
Reference.Report.title <-> Reference.InCollection.title
Reference.Report.title <-> Reference.InProceedings.title
Reference.Report.title <-> Reference.LectureNotes.title
Reference.Report.title <-> Reference.Manual.title
Reference.Report.title <-> Reference.MastersThesis.title
Reference.Report.title <-> Reference.PhdThesis.title
Reference.Report.title <-> Reference.Proceedings.title
Reference.Report.title <-> Reference.Report.title
Reference.Informal.Manual.title <-> Reference.title
Reference.Informal.Manual.title <-> Reference.Manual.title
Reference.Informal.Manual.title <-> Reference.Unpublished.title
Reference.Informal.Unpublished.title <-> Reference.title
Reference.Informal.Unpublished.title <-> Reference.Unpublished.title
Reference.Informal.Booklet <-> Reference.Booklet
Reference.Informal.LectureNotes <-> Reference.LectureNotes
Reference.Academic.MastersThesis <-> Reference.MastersThesis
Reference.Part.pages <-> Reference.Article.pages
Reference.Part.pages <-> Reference.Chapter.pages
Reference.Part.pages <-> Reference.InBook.pages
Reference.Part.pages <-> Reference.InCollection.pages
Reference.Part.pages <-> Reference.InProceedings.pages
Reference.Part.Article.pages <-> Reference.Article.pages
Reference.Part.Article.pages <-> Reference.Chapter.pages
Reference.Part.Article.pages <-> Reference.InBook.pages
Reference.Part.Article.pages <-> Reference.InCollection.pages
Reference.Part.Article.pages <-> Reference.InProceedings.pages
Reference.Part.InBook.pages <-> Reference.Article.pages
Reference.Part.InBook.pages <-> Reference.Chapter.pages
Reference.Part.InBook.pages <-> Reference.InBook.pages
Reference.Part.InBook.pages <-> Reference.InCollection.pages
Reference.Part.InBook.pages <-> Reference.InProceedings.pages
Reference.Report.TechReport <-> Reference.Report.TechReport
Reference.Book.edition <-> Reference.Monograph.edition
Reference.Book.edition <-> Reference.Collection.edition
Reference.Book.edition <-> Reference.Manual.edition
Reference.Book.edition <-> Reference.Proceedings.edition
Reference.Informal.Manual.edition <-> Reference.Monograph.edition
Reference.Informal.Manual.edition <-> Reference.Collection.edition
Reference.Informal.Manual.edition <-> Reference.Manual.edition
Reference.Informal.Manual.edition <-> Reference.Proceedings.edition
Reference.Report.institution <-> Reference.Report.institution
Reference.Part.isPartOf <-> Reference.Article.isPartOf
Reference.Part.isPartOf <-> Reference.Chapter.isPartOf
Reference.Part.isPartOf <-> Reference.InBook.isPartOf
Reference.Part.isPartOf <-> Reference.InCollection.isPartOf
Reference.Part.isPartOf <-> Reference.InProceedings.isPartOf
Reference.Book.Proceedings.organization <-> Reference.Manual.organization
Reference.Informal.Manual.organization <-> Reference.Proceedings.organization
Reference.Book.publisher <-> Reference.Monograph.publisher
Reference.Book.publisher <-> Reference.Collection.publisher
Reference.Book.publisher <-> Reference.Proceedings.publisher
Reference.Academic.school <-> Reference.MastersThesis.school
Reference.Academic.school <-> Reference.PhdThesis.school
Reference.Misc <-> Reference.Misc
Reference.Part.InCollection.collection <-> Reference.InCollection.collection
Reference.Book.Collection <-> Reference.Collection
Reference.MotionPicture <-> Reference.MotionPicture
Reference.Part.Article <-> Reference.Article
Reference.Book.Proceedings.event <-> Reference.Proceedings.event
Reference.Part.InBook.book <-> Reference.InBook.book
Reference.Academic.PhdThesis <-> Reference.PhdThesis
Reference.Book.Proceedings <-> Reference.Proceedings
Reference.Report.number <-> Reference.Article.number
Reference.Report.number <-> Reference.Report.number
Reference.Part.Article.number <-> Reference.Article.number
Reference.Part.Article.number <-> Reference.Report.number
Reference <-> Reference
Reference.Part.InCollection <-> Reference.InCollection
Reference.author <-> Reference.Article.author
Reference.author <-> Reference.Monograph.author
Reference.author <-> Reference.Collection.author
Reference.author <-> Reference.InBook.author
Reference.author <-> Reference.InCollection.author
Reference.author <-> Reference.InProceedings.author
Reference.author <-> Reference.MastersThesis.author
Reference.author <-> Reference.PhdThesis.author
Reference.author <-> Reference.Proceedings.author
Reference.author <-> Reference.Report.author
Reference.author <-> Reference.Unpublished.author
Reference.Academic.author <-> Reference.Article.author
Reference.Academic.author <-> Reference.Monograph.author
Reference.Academic.author <-> Reference.Collection.author
Reference.Academic.author <-> Reference.InBook.author
Reference.Academic.author <-> Reference.InCollection.author
Reference.Academic.author <-> Reference.InProceedings.author
Reference.Academic.author <-> Reference.MastersThesis.author
Reference.Academic.author <-> Reference.PhdThesis.author
Reference.Academic.author <-> Reference.Proceedings.author
Reference.Academic.author <-> Reference.Report.author
Reference.Report.author <-> Reference.Article.author
Reference.Report.author <-> Reference.Monograph.author
Reference.Report.author <-> Reference.Collection.author
Reference.Report.author <-> Reference.InBook.author
Reference.Report.author <-> Reference.InCollection.author
Reference.Report.author <-> Reference.InProceedings.author
Reference.Report.author <-> Reference.MastersThesis.author
Reference.Report.author <-> Reference.PhdThesis.author
Reference.Report.author <-> Reference.Proceedings.author
Reference.Report.author <-> Reference.Report.author
Reference.Informal.Unpublished.author <-> Reference.Unpublished.author
Reference.Part.Article.author <-> Reference.Article.author
Reference.Part.Article.author <-> Reference.Monograph.author
Reference.Part.Article.author <-> Reference.Collection.author
Reference.Part.Article.author <-> Reference.InBook.author
Reference.Part.Article.author <-> Reference.InCollection.author
Reference.Part.Article.author <-> Reference.InProceedings.author
Reference.Part.Article.author <-> Reference.MastersThesis.author
Reference.Part.Article.author <-> Reference.PhdThesis.author
Reference.Part.Article.author <-> Reference.Proceedings.author
Reference.Part.Article.author <-> Reference.Report.author
Reference.Part.InBook.author <-> Reference.Article.author
Reference.Part.InBook.author <-> Reference.Monograph.author
Reference.Part.InBook.author <-> Reference.Collection.author
Reference.Part.InBook.author <-> Reference.InBook.author
Reference.Part.InBook.author <-> Reference.InCollection.author
Reference.Part.InBook.author <-> Reference.InProceedings.author
Reference.Part.InBook.author <-> Reference.MastersThesis.author
Reference.Part.InBook.author <-> Reference.PhdThesis.author
Reference.Part.InBook.author <-> Reference.Proceedings.author
Reference.Part.InBook.author <-> Reference.Report.author
Reference.Part.InCollection.author <-> Reference.Article.author
Reference.Part.InCollection.author <-> Reference.Monograph.author
Reference.Part.InCollection.author <-> Reference.Collection.author
Reference.Part.InCollection.author <-> Reference.InBook.author
Reference.Part.InCollection.author <-> Reference.InCollection.author
Reference.Part.InCollection.author <-> Reference.InProceedings.author
Reference.Part.InCollection.author <-> Reference.MastersThesis.author
Reference.Part.InCollection.author <-> Reference.PhdThesis.author
Reference.Part.InCollection.author <-> Reference.Proceedings.author
Reference.Part.InCollection.author <-> Reference.Report.author
Reference.Part.InProceedings.author <-> Reference.Article.author
Reference.Part.InProceedings.author <-> Reference.Monograph.author
Reference.Part.InProceedings.author <-> Reference.Collection.author
Reference.Part.InProceedings.author <-> Reference.InBook.author
Reference.Part.InProceedings.author <-> Reference.InCollection.author
Reference.Part.InProceedings.author <-> Reference.InProceedings.author
Reference.Part.InProceedings.author <-> Reference.MastersThesis.author
Reference.Part.InProceedings.author <-> Reference.PhdThesis.author
Reference.Part.InProceedings.author <-> Reference.Proceedings.author
Reference.Part.InProceedings.author <-> Reference.Report.author
Reference.Report <-> Reference.Report
Reference.Informal.Unpublished.note <-> Reference.Unpublished.note
Reference.Book.humanCreator <-> Reference.humanCreator
Reference.Report.Deliverable.contract <-> Reference.Report.Deliverable.contract
Reference.Informal.Manual <-> Reference.Manual
Reference.Part.InProceedings <-> Reference.InProceedings
Reference.Part.Article.journal <-> Reference.Article.journal
Reference.Book.Monograph <-> Reference.Monograph
Reference.Report.Deliverable <-> Reference.Report.Deliverable
