Reference.Part.InProceedings.proceedings <-> Resource.Reference.Text.Part.InProceedings.proceedings
Reference.Book.volume <-> Resource.Reference.Text.Book.volume
Reference.Part.Article.volume <-> Resource.Reference.Text.Part.JournalPart.volume
Reference.Informal.Unpublished <-> Resource.Reference.Text.Informal.Unpublished
Reference.Part.Chapter.chapter <-> Resource.Reference.Text.Part.Chapter.chapter
Reference.Part.Chapter <-> Resource.Reference.Text.Part.Chapter
Reference.Book.Proceedings.editor <-> Resource.Reference.Text.Book.Proceedings.editor
Reference.Part.InBook <-> Resource.Reference.Text.Part.InBook
Reference.Book.series <-> Resource.Reference.Text.Book.series
Reference.date <-> Resource.Reference.date
Reference.date <-> Resource.Reference.Text.Book.date
Reference.date <-> Resource.Reference.Text.Academic.date
Reference.date <-> Resource.Reference.Text.Report.date
Reference.date <-> Resource.Reference.Text.Part.JournalPart.date
Reference.Book.date <-> Resource.Reference.date
Reference.Book.date <-> Resource.Reference.Text.Book.date
Reference.Book.date <-> Resource.Reference.Text.Academic.date
Reference.Book.date <-> Resource.Reference.Text.Report.date
Reference.Book.date <-> Resource.Reference.Text.Part.JournalPart.date
Reference.Academic.date <-> Resource.Reference.date
Reference.Academic.date <-> Resource.Reference.Text.Book.date
Reference.Academic.date <-> Resource.Reference.Text.Academic.date
Reference.Academic.date <-> Resource.Reference.Text.Report.date
Reference.Academic.date <-> Resource.Reference.Text.Part.JournalPart.date
Reference.Report.date <-> Resource.Reference.date
Reference.Report.date <-> Resource.Reference.Text.Book.date
Reference.Report.date <-> Resource.Reference.Text.Academic.date
Reference.Report.date <-> Resource.Reference.Text.Report.date
Reference.Report.date <-> Resource.Reference.Text.Part.JournalPart.date
Reference.Part.Article.date <-> Resource.Reference.date
Reference.Part.Article.date <-> Resource.Reference.Text.Book.date
Reference.Part.Article.date <-> Resource.Reference.Text.Academic.date
Reference.Part.Article.date <-> Resource.Reference.Text.Report.date
Reference.Part.Article.date <-> Resource.Reference.Text.Part.JournalPart.date
Reference.title <-> Resource.Reference.title
Reference.title <-> Resource.Reference.Text.Book.title
Reference.title <-> Resource.Reference.Text.Informal.title
Reference.title <-> Resource.Reference.Text.Part.title
Reference.title <-> Resource.Reference.Text.Academic.title
Reference.title <-> Resource.Reference.Text.Report.title
Reference.title <-> Resource.Reference.Text.Informal.Manual.title
Reference.title <-> Resource.Reference.Text.Informal.Unpublished.title
Reference.Book.title <-> Resource.Reference.title
Reference.Book.title <-> Resource.Reference.Text.Book.title
Reference.Book.title <-> Resource.Reference.Text.Part.title
Reference.Book.title <-> Resource.Reference.Text.Academic.title
Reference.Book.title <-> Resource.Reference.Text.Report.title
Reference.Informal.title <-> Resource.Reference.title
Reference.Informal.title <-> Resource.Reference.Text.Informal.title
Reference.Informal.title <-> Resource.Reference.Text.Informal.Manual.title
Reference.Informal.title <-> Resource.Reference.Text.Informal.Unpublished.title
Reference.Part.title <-> Resource.Reference.title
Reference.Part.title <-> Resource.Reference.Text.Book.title
Reference.Part.title <-> Resource.Reference.Text.Part.title
Reference.Part.title <-> Resource.Reference.Text.Academic.title
Reference.Part.title <-> Resource.Reference.Text.Report.title
Reference.Academic.title <-> Resource.Reference.title
Reference.Academic.title <-> Resource.Reference.Text.Book.title
Reference.Academic.title <-> Resource.Reference.Text.Part.title
Reference.Academic.title <-> Resource.Reference.Text.Academic.title
Reference.Academic.title <-> Resource.Reference.Text.Report.title
