Reference.Informal.Unpublished <-> Entry.Unpublished
Reference.Part.Chapter <-> Entry.Inbook
Reference.Part.InBook <-> Entry.Inbook
Reference.date <-> Entry.Article.hasYear
Reference.date <-> Entry.Book.hasYear
Reference.date <-> Entry.Inbook.hasYear
Reference.date <-> Entry.Incollection.hasYear
Reference.date <-> Entry.Inproceedings.hasYear
Reference.date <-> Entry.Mastersthesis.hasYear
Reference.date <-> Entry.Phdthesis.hasYear
Reference.date <-> Entry.Proceedings.hasYear
Reference.date <-> Entry.TechReport.hasYear
Reference.Book.date <-> Entry.Article.hasYear
Reference.Book.date <-> Entry.Book.hasYear
Reference.Book.date <-> Entry.Inbook.hasYear
Reference.Book.date <-> Entry.Incollection.hasYear
Reference.Book.date <-> Entry.Inproceedings.hasYear
Reference.Book.date <-> Entry.Mastersthesis.hasYear
Reference.Book.date <-> Entry.Phdthesis.hasYear
Reference.Book.date <-> Entry.Proceedings.hasYear
Reference.Book.date <-> Entry.TechReport.hasYear
Reference.Academic.date <-> Entry.Article.hasYear
Reference.Academic.date <-> Entry.Book.hasYear
Reference.Academic.date <-> Entry.Inbook.hasYear
Reference.Academic.date <-> Entry.Incollection.hasYear
Reference.Academic.date <-> Entry.Inproceedings.hasYear
Reference.Academic.date <-> Entry.Mastersthesis.hasYear
Reference.Academic.date <-> Entry.Phdthesis.hasYear
Reference.Academic.date <-> Entry.Proceedings.hasYear
Reference.Academic.date <-> Entry.TechReport.hasYear
Reference.Report.date <-> Entry.Article.hasYear
Reference.Report.date <-> Entry.Book.hasYear
Reference.Report.date <-> Entry.Inbook.hasYear
Reference.Report.date <-> Entry.Incollection.hasYear
Reference.Report.date <-> Entry.Inproceedings.hasYear
Reference.Report.date <-> Entry.Mastersthesis.hasYear
Reference.Report.date <-> Entry.Phdthesis.hasYear
Reference.Report.date <-> Entry.Proceedings.hasYear
Reference.Report.date <-> Entry.TechReport.hasYear
Reference.Part.Article.date <-> Entry.Article.hasYear
Reference.Part.Article.date <-> Entry.Book.hasYear
Reference.Part.Article.date <-> Entry.Inbook.hasYear
Reference.Part.Article.date <-> Entry.Incollection.hasYear
Reference.Part.Article.date <-> Entry.Inproceedings.hasYear
Reference.Part.Article.date <-> Entry.Mastersthesis.hasYear
Reference.Part.Article.date <-> Entry.Phdthesis.hasYear
Reference.Part.Article.date <-> Entry.Proceedings.hasYear
Reference.Part.Article.date <-> Entry.TechReport.hasYear
Reference.title <-> Entry.Article.hasTitle
Reference.title <-> Entry.Book.hasTitle
Reference.title <-> Entry.Booklet.hasTitle
Reference.title <-> Entry.Inbook.hasTitle
Reference.title <-> Entry.Incollection.hasTitle
Reference.title <-> Entry.Inproceedings.hasTitle
Reference.title <-> Entry.Manual.hasTitle
Reference.title <-> Entry.Mastersthesis.hasTitle
Reference.title <-> Entry.Phdthesis.hasTitle
Reference.title <-> Entry.Proceedings.hasTitle
Reference.title <-> Entry.TechReport.hasTitle
Reference.Book.title <-> Entry.Article.hasTitle
Reference.Book.title <-> Entry.Book.hasTitle
Reference.Book.title <-> Entry.Booklet.hasTitle
Reference.Book.title <-> Entry.Inbook.hasTitle
