Reference.Part.InProceedings.proceedings <-> Entry.Part.InProceedings.inProceedings
Reference.Book.volume <-> Entry.Published.Article.volume
Reference.Part.Article.volume <-> Entry.Part.Article.volume
Reference.Informal.Unpublished <-> Entry.Informal.Unpublished
Reference.Part.Chapter.chapter <-> Entry.Published.BookPart.chapter
Reference.Part.Chapter.chapter <-> Entry.Part.BookPart.chapter
Reference.Book.Proceedings.editor <-> Entry.Composite.Proceedings.editor
Reference.Book.series <-> Entry.Composite.series
Reference.date <-> Entry.date
Reference.date <-> Entry.Composite.date
Reference.date <-> Entry.Published.Article.date
Reference.date <-> Entry.Informal.TechReport.date
Reference.date <-> Entry.Part.Article.date
Reference.date <-> Entry.Academic.Thesis.date
Reference.Book.date <-> Entry.date
Reference.Book.date <-> Entry.Composite.date
Reference.Book.date <-> Entry.Published.Article.date
Reference.Book.date <-> Entry.Informal.TechReport.date
Reference.Book.date <-> Entry.Part.Article.date
Reference.Book.date <-> Entry.Academic.Thesis.date
Reference.Academic.date <-> Entry.date
Reference.Academic.date <-> Entry.Composite.date
Reference.Academic.date <-> Entry.Published.Article.date
Reference.Academic.date <-> Entry.Informal.TechReport.date
Reference.Academic.date <-> Entry.Part.Article.date
Reference.Academic.date <-> Entry.Academic.Thesis.date
Reference.Report.date <-> Entry.date
Reference.Report.date <-> Entry.Composite.date
Reference.Report.date <-> Entry.Published.Article.date
Reference.Report.date <-> Entry.Informal.TechReport.date
Reference.Report.date <-> Entry.Part.Article.date
Reference.Report.date <-> Entry.Academic.Thesis.date
Reference.Part.Article.date <-> Entry.date
Reference.Part.Article.date <-> Entry.Composite.date
Reference.Part.Article.date <-> Entry.Published.Article.date
Reference.Part.Article.date <-> Entry.Informal.TechReport.date
Reference.Part.Article.date <-> Entry.Part.Article.date
Reference.Part.Article.date <-> Entry.Academic.Thesis.date
Reference.title <-> Entry.title
Reference.title <-> Entry.Composite.title
Reference.title <-> Entry.Part.title
Reference.title <-> Entry.Academic.title
Reference.title <-> Entry.Published.Article.title
Reference.title <-> Entry.Informal.Booklet.title
Reference.title <-> Entry.Informal.Manual.title
Reference.title <-> Entry.Informal.TechReport.title
Reference.title <-> Entry.Informal.Unpublished.title
Reference.title <-> Entry.Part.Article.title
Reference.Book.title <-> Entry.title
Reference.Book.title <-> Entry.Composite.title
Reference.Book.title <-> Entry.Part.title
Reference.Book.title <-> Entry.Academic.title
Reference.Book.title <-> Entry.Published.Article.title
Reference.Book.title <-> Entry.Part.Article.title
Reference.Informal.title <-> Entry.title
